year,world_rank,institution,country
2005,28,"Washington University in St. Louis","United States"
2005,29,"New York University","United States"
2005,30,"Rockefeller University","United States"
2005,31,"Northwestern University","United States"
2005,32,"Duke University","United States"
2005,32,"University of Minnesota","United States"
2005,34,"University of California, Santa Barbara","United States"
2005,35,"University of Colorado at Boulder","United States"
2005,36,"The University of Texas at Austin","United States"
2005,37,"University of British Columbia","Canada"
2005,38,"The University of Texas Southwestern Medical Center at Dallas","United States"
2005,39,"Pennsylvania State University - University Park","United States"
2005,39,"Vanderbilt University","United States"
2005,41,"University of California, Davis","United States"
2005,41,"Utrecht University","Netherlands"
2005,43,"Rutgers","United States"
2005,43,"University of Pittsburgh","United States"
2005,45,"Karolinska Institute","Sweden"
2005,46,"Pierre and Marie Curie University - Paris 6","France"
2005,47,"The University of Edinburgh","United Kingdom"
2005,47,"University of California, Irvine","United States"
2005,47,"University of Maryland, College Park","United States"
2005,50,"University of Southern California","United States"
2005,51,"University of Munich","Germany"
2005,52,"Technical University Munich","Germany"
2005,53,"The University of Manchester","United Kingdom"
2005,54,"Carnegie Mellon University","United States"
2005,55,"University of North Carolina at Chapel Hill","United States"
2005,56,"The Australian National University","Australia"
2005,57,"University of Copenhagen","Denmark"
2005,57,"University of Florida","United States"
2005,57,"University of Zurich","Switzerland"
2005,60,"Uppsala University","Sweden"
2005,61,"University of Paris Sud (Paris 11)","France"
2005,62,"Osaka University","Japan"
2005,63,"The Ohio State University - Columbus","United States"
2005,64,"University of Bristol","United Kingdom"
2005,65,"The University of Sheffield","United Kingdom"
2005,65,"University of Rochester","United States"
2005,67,"McGill University","Canada"
2005,67,"Moscow State University","Russia"
2005,69,"Case Western Reserve University","United States"
2005,69,"University of Oslo","Norway"
2005,71,"University of Heidelberg","Germany"
2005,72,"Leiden University","Netherlands"
2005,73,"Tohoku University","Japan"
2005,73,"University of Arizona","United States"
2005,75,"Purdue University - West Lafayette","United States"
2005,76,"University of Helsinki","Finland"
2005,77,"Michigan State University","United States"
2005,78,"Rice University","United States"
2005,78,"The Hebrew University of Jerusalem","Israel"
2005,80,"Boston University","United States"
2005,80,"King's College London","United Kingdom"
2005,82,"University of Melbourne","Australia"
2005,83,"University of Nottingham","United Kingdom"
2005,84,"University of Goettingen","Germany"
2005,85,"University of Vienna","Austria"
2005,86,"Brown University","United States"
2005,87,"Indiana University Bloomington","United States"
2005,87,"University of Basel","Switzerland"
2005,89,"Texas A&M University - College Station","United States"
2005,90,"McMaster University","Canada"
2005,90,"University of Freiburg","Germany"
2005,92,"University of Strasbourg","France"
2005,93,"Ecole Normale Superieure - Paris","France"
2005,93,"Stockholm University","Sweden"
2005,93,"Tokyo Institute of Technology","Japan"
2005,93,"University of Utah","United States"
2005,97,"University of Roma - La Sapienza","Italy"
2005,98,"University of Birmingham","United Kingdom"
2005,99,"Lund University","Sweden"
2005,100,"Tufts University","United States"
2006,1,"Harvard University","United States"
2006,2,"University of Cambridge","United Kingdom"
2006,3,"Stanford University","United States"
2006,4,"University of California, Berkeley","United States"
2006,5,"Massachusetts Institute of Technology (MIT)","United States"
2006,6,"California Institute of Technology","United States"
2006,7,"Columbia University","United States"
2006,8,"Princeton University","United States"
2006,8,"University of Chicago","United States"
2006,10,"University of Oxford","United Kingdom"
2006,11,"Yale University","United States"
2006,12,"Cornell University","United States"
2006,13,"University of California, San Diego","United States"
2006,14,"University of California, Los Angeles","United States"
2006,15,"University of Pennsylvania","United States"
2006,16,"University of Wisconsin - Madison","United States"
2006,17,"University of Washington","United States"
2006,18,"University of California, San Francisco","United States"
2006,19,"The University of Tokyo","Japan"
2006,20,"The Johns Hopkins University","United States"
2006,21,"University of Michigan - Ann Arbor","United States"
2006,22,"Kyoto University","Japan"
2006,23,"The Imperial College of Science","United Kingdom"
2006,24,"University of Toronto","Canada"
2006,25,"University of Illinois at Urbana-Champaign","United States"
2006,26,"University College London","United Kingdom"
2006,27,"Swiss Federal Institute of Technology Zurich","Switzerland"
2006,28,"Washington University in St. Louis","United States"
2006,29,"New York University","United States"
2006,30,"Rockefeller University","United States"
2006,31,"Duke University","United States"
2006,32,"University of Minnesota","United States"
2006,33,"Northwestern University","United States"
2006,34,"University of Colorado at Boulder","United States"
2006,35,"University of California, Santa Barbara","United States"
2006,36,"University of British Columbia","Canada"
2006,37,"University of Maryland, College Park","United States"
2006,38,"The University of Texas Southwestern Medical Center at Dallas","United States"
